Input,Options,Expected,Predicted
"Q: In the sentence ""John arranged for himself to get the prize"", which word immediately precedes the word ""the""? A:","['John', 'arranged', 'for', 'himself', 'to', 'get', 'the', 'prize']",get,
"Q: In the sentence ""Sally believes that she is brilliant"", which word immediately precedes the word ""that""? A:","['Sally', 'believes', 'that', 'she', 'is', 'brilliant']",believes,
"Q: In the sentence ""Sue knows the answer"", which word immediately precedes the word ""the""? A:","['Sue', 'knows', 'the', 'answer']",knows,
"Q: In the sentence ""John is eager to find a new home"", which word comes right before the word ""is""? A:","['John', 'is', 'eager', 'to', 'find', 'a', 'new', 'home']",john,
"Q: Which word comes right before ""pleased"" in the sentence ""The news pleased the students""? A:","['The', 'news', 'pleased', 'the', 'students']",news,"pleased the students""? a:"
"Q: In the sentence ""Over the fort fluttered a large flag"", which word immediately precedes the word ""a""? A:","['Over', 'the', 'fort', 'fluttered', 'a', 'large', 'flag']",fluttered,
"Q: In the sentence ""I saw John on Sunday"", which word immediately precedes the word ""John""? A:","['I', 'saw', 'John', 'on', 'Sunday']",saw,"sawed by the word ""the""? "
"Q: Which word comes right before ""of"" in the sentence ""A serious accident happened in front of them""? A:","['A', 'serious', 'accident', 'happened', 'in', 'front', 'of', 'them']",front,appeared on the newsstand
"Q: In the sentence ""Brown equipped Jones with a camera"", which word comes right before the word ""with""? A:","['Brown', 'equipped', 'Jones', 'with', 'a', 'camera']",jones,
"Q: Which word comes right before ""to"" in the sentence ""John fed rice to the baby""? A:","['John', 'fed', 'rice', 'to', 'the', 'baby']",rice,
"Q: Which word comes right before ""people"" in the sentence ""It annoys people that dogs bark""? A:","['It', 'annoys', 'people', 'that', 'dogs', 'bark']",annoys,people drinking very badl
"Q: In the sentence ""The old and new carts banged together"", which word comes right before the word ""carts""? A:","['The', 'old', 'and', 'new', 'carts', 'banged', 'together']",new,
"Q: In the sentence ""People from Tucson think very highly of themselves"", which word comes right before the word ""of""? A:","['People', 'from', 'Tucson', 'think', 'very', 'highly', 'of', 'themselves']",highly,"thinks that death is ""the"
"Q: In the sentence ""He continued writing poems"", which word immediately precedes the word ""poems""? A:","['He', 'continued', 'writing', 'poems']",writing,
"Q: Which word comes right before ""was"" in the sentence ""Calvin was eating""? A:","['Calvin', 'was', 'eating']",calvin,
"Q: In the sentence ""John knows whether she will come back"", which word comes right before the word ""back""? A:","['John', 'knows', 'whether', 'she', 'will', 'come', 'back']",come,
"Q: In the sentence ""The bandits murdered innocent victims"", which word immediately precedes the word ""innocent""? A:","['The', 'bandits', 'murdered', 'innocent', 'victims']",murdered,victimskyetskilled the ma
"Q: In the sentence ""Bill sent Tom a package"", which word comes right before the word ""Tom""? A:","['Bill', 'sent', 'Tom', 'a', 'package']",sent,sentenceded the book to b
"Q: Which word comes right before ""lawyer"" in the sentence ""Almost every lawyer could answer that question""? A:","['Almost', 'every', 'lawyer', 'could', 'answer', 'that', 'question']",every,could be added to the cou
"Q: Which word comes right before ""to"" in the sentence ""John promised Bill to leave""? A:","['John', 'promised', 'Bill', 'to', 'leave']",bill,john said mary went to hi
"Q: In the sentence ""Martha carved the baby a toy out of wood"", which word comes right before the word ""carved""? A:","['Martha', 'carved', 'the', 'baby', 'a', 'toy', 'out', 'of', 'wood']",martha,carved a pathetic water a
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", which word comes right before the word ""to""? A:","['It', 'is', 'obvious', 'to', 'everybody', 'that', 'Tasha', 'likes', 'Misha']",obvious,tasha lankoquekeev or lea
"Q: In the sentence ""The farmer loaded the cart with apples"", which word comes right before the word ""with""? A:","['The', 'farmer', 'loaded', 'the', 'cart', 'with', 'apples']",cart,
"Q: Which word comes right before ""this"" in the sentence ""A pilot must be flying this plane""? A:","['A', 'pilot', 'must', 'be', 'flying', 'this', 'plane']",flying,
"Q: In the sentence ""This violin is difficult to play sonatas on"", which word immediately precedes the word ""is""? A:","['This', 'violin', 'is', 'difficult', 'to', 'play', 'sonatas', 'on']",violin,
"Q: Which word comes right before ""by"" in the sentence ""Mary was visited by Bill""? A:","['Mary', 'was', 'visited', 'by', 'Bill']",visited,mary saw the boy walking 
"Q: Which word comes right before ""on"" in the sentence ""It is easy to play sonatas on this violin""? A:","['It', 'is', 'easy', 'to', 'play', 'sonatas', 'on', 'this', 'violin']",sonatas,
"Q: In the sentence ""Bill dried the clothes"", which word immediately precedes the word ""the""? A:","['Bill', 'dried', 'the', 'clothes']",dried,"bitten biten with ""bill""?"
"Q: In the sentence ""Susan rode a bright blue train from New York"", which word comes right before the word ""blue""? A:","['Susan', 'rode', 'a', 'bright', 'blue', 'train', 'from', 'New', 'York']",bright,
"Q: In the sentence ""Martina is deathly afraid of spiders"", which word immediately precedes the word ""is""? A:","['Martina', 'is', 'deathly', 'afraid', 'of', 'spiders']",martina,"deathly, which word immed"
"Q: In the sentence ""Carla was shoveling the walk"", which word immediately precedes the word ""was""? A:","['Carla', 'was', 'shoveling', 'the', 'walk']",carla,
"Q: In the sentence ""Mary is taller than six feet"", which word immediately precedes the word ""is""? A:","['Mary', 'is', 'taller', 'than', 'six', 'feet']",mary,
"Q: In the sentence ""I saw John on Sunday"", which word comes right before the word ""on""? A:","['I', 'saw', 'John', 'on', 'Sunday']",john,sawsuki was looking at ea
"Q: Which word comes right before ""secretary"" in the sentence ""The president declared Smith press secretary""? A:","['The', 'president', 'declared', 'Smith', 'press', 'secretary']",press,press started when the el
"Q: In the sentence ""Pat is the captain of the team"", which word comes right before the word ""is""? A:","['Pat', 'is', 'the', 'captain', 'of', 'the', 'team']",pat,
"Q: In the sentence ""The students felt comfortable in the class"", which word comes right before the word ""comfortable""? A:","['The', 'students', 'felt', 'comfortable', 'in', 'the', 'class']",felt,"coldings were presents"", "
"Q: Which word comes right before ""vases"" in the sentence ""Crystal vases break easily""? A:","['Crystal', 'vases', 'break', 'easily']",crystal,"crystallizes the word ""cr"
"Q: In the sentence ""I broke the twig and the branch apart"", which word comes right before the word ""apart""? A:","['I', 'broke', 'the', 'twig', 'and', 'the', 'branch', 'apart']",branch,
"Q: In the sentence ""A chair was broken"", which word comes right before the word ""was""? A:","['A', 'chair', 'was', 'broken']",chair,"chaired after the word ""w"
"Q: In the sentence ""A chair was broken"", which word immediately precedes the word ""was""? A:","['A', 'chair', 'was', 'broken']",chair,"chairs, which word immedi"
"Q: In the sentence ""I ate deep fried muffins"", which word comes right before the word ""fried""? A:","['I', 'ate', 'deep', 'fried', 'muffins']",deep,
"Q: In the sentence ""There appears to be a problem with this solution"", which word comes right before the word ""to""? A:","['There', 'appears', 'to', 'be', 'a', 'problem', 'with', 'this', 'solution']",appears,
"Q: In the sentence ""Jack sprayed the wall with paint"", which word comes right before the word ""the""? A:","['Jack', 'sprayed', 'the', 'wall', 'with', 'paint']",sprayed,
"Q: In the sentence ""I want to go"", which word comes right before the word ""to""? A:","['I', 'want', 'to', 'go']",want,
"Q: In the sentence ""A large dog chased a small cat"", which word immediately precedes the word ""cat""? A:","['A', 'large', 'dog', 'chased', 'a', 'small', 'cat']",small,
"Q: In the sentence ""John asks in which box he put the book"", which word immediately precedes the word ""in""? A:","['John', 'asks', 'in', 'which', 'box', 'he', 'put', 'the', 'book']",asks,
