Input,Options,Expected,Predicted
"F: In dem Satz ""Sie schreibt regelmäßig Briefe an ihre Großeltern auf dem Land."", welches Wort kommt unmittelbar vor dem Wort ""Briefe""? A:","['Sie', 'schreibt', 'regelmäßig', 'Briefe', 'an', 'ihre', 'Großeltern', 'auf', 'dem', 'Land']",regelmäßig,
"F: In dem Satz ""Sie trägt eine rote Jacke im Winter und warme Stiefel dazu."", welches Wort kommt unmittelbar vor dem Wort ""Winter""? A:","['Sie', 'trägt', 'eine', 'rote', 'Jacke', 'im', 'Winter', 'und', 'warme', 'Stiefel', 'dazu']",im,
"F: In dem Satz ""Wir machen eine Wanderung durch den Wald bei schönem Wetter."", welches Wort kommt unmittelbar vor dem Wort ""durch""? A:","['Wir', 'machen', 'eine', 'Wanderung', 'durch', 'den', 'Wald', 'bei', 'schönem', 'Wetter']",Wanderung,wir aus wort spannenden e
"F: In dem Satz ""Der Hund bellt laut, wenn jemand an der Tür klingelt."", welches Wort steht direkt vor dem Wort ""bellt""? A:","['Der', 'Hund', 'bellt', 'laut', 'wenn', 'jemand', 'an', 'der', 'Tür', 'klingelt']",Hund,der hinten warmende wort 
"Welches Wort steht im Satz ""Der Hund kuschelt sich zufrieden in seine warme Decke."" direkt vor ""in""? ","['Der', 'Hund', 'kuschelt', 'sich', 'zufrieden', 'in', 'seine', 'warme', 'Decke']",zufrieden,
"F: In dem Satz ""Wir besuchen das Schloss im nahegelegenen Ort am Sonntag."", welches Wort kommt unmittelbar vor dem Wort ""im""? A:","['Wir', 'besuchen', 'das', 'Schloss', 'im', 'nahegelegenen', 'Ort', 'am', 'Sonntag']",Schloss,"schläftsmusisches wort ""m"
"F: In dem Satz ""Ich höre Musik, während ich meine Hausaufgaben mache zu Hause."", welches Wort kommt unmittelbar vor dem Wort ""zu""? A:","['Ich', 'höre', 'Musik', 'während', 'ich', 'meine', 'Hausaufgaben', 'mache', 'zu', 'Hause']",mache,
"Welches Wort steht im Satz ""Er fährt jeden Morgen mit dem Fahrrad zur Arbeit in die Stadt."" direkt vor ""mit""? ","['Er', 'fährt', 'jeden', 'Morgen', 'mit', 'dem', 'Fahrrad', 'zur', 'Arbeit', 'in', 'die', 'Stadt']",Morgen,"und salaterernende."", wel"
"F: In dem Satz ""Ich koche heute eine Suppe mit frischem Gemüse."", welches Wort steht direkt vor dem Wort ""frischem""? A:","['Ich', 'koche', 'heute', 'eine', 'Suppe', 'mit', 'frischem', 'Gemüse']",mit,
"Welches Wort steht im Satz ""Die Katze schläft zufrieden auf dem gemütlichen Sofa im Wohnzimmer."" direkt vor ""dem""? ","['Die', 'Katze', 'schläft', 'zufrieden', 'auf', 'dem', 'gemütlichen', 'Sofa', 'im', 'Wohnzimmer']",auf,"die wirtschaft."" direkt n"
