Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist länger, ""nach"" oder ""wertlos""? A:","['nach', 'wertlos']",wertlos,"UTT_BOUNDARY f: welches wort ist länger, ""nach"" oder ""wertlos""? a:UTT_BOUNDARY wertloses und un", wertloses und un
"F: Welches Wort ist länger, ""man"" oder ""darüber""? A:","['man', 'darüber']",darüber,"UTT_BOUNDARY f: welches wort ist länger, ""man"" oder ""darüber""? a:UTT_BOUNDARY darüber, ob und wann"," darüber, ob und wann"
"F: Welches Wort ist länger, ""solches"" oder ""mehr""? A:","['solches', 'mehr']",solches,"UTT_BOUNDARY f: welches wort ist länger, ""solches"" oder ""mehr""? a:UTT_BOUNDARY solches ""mulm"," solches ""mulm"
"F: Welches Wort hat mehr Buchstaben, ""völlig"" oder ""in""? A:","['völlig', 'in']",völlig,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""völlig"" oder ""in""? a:UTT_BOUNDARY völlig ungerned", völlig ungerned
"Von den Wörtern ""lang"" und ""zwischen"", welches hat mehr Buchstaben? ","['lang', 'zwischen']",zwischen,"UTT_BOUNDARY von den wörtern ""lang"" und ""zwischen"", welches hat mehr buchstaben?UTT_BOUNDARY zwischen den wörtern """," zwischen den wörtern """
"F: Welches Wort ist länger, ""ist"" oder ""solches""? A:","['ist', 'solches']",solches,"UTT_BOUNDARY f: welches wort ist länger, ""ist"" oder ""solches""? a:UTT_BOUNDARY solches wort ist ""ein"," solches wort ist ""ein"
"F: Welches Wort ist länger, ""der"" oder ""Abschied""? A:","['der', 'Abschied']",abschied,"UTT_BOUNDARY f: welches wort ist länger, ""der"" oder ""abschied""? a:UTT_BOUNDARY abschied von den wörtern", abschied von den wörtern
"Von den Wörtern ""viel"" und ""gespürt"", welches hat mehr Buchstaben? ","['viel', 'gespürt']",gespürt,"UTT_BOUNDARY von den wörtern ""viel"" und ""gespürt"", welches hat mehr buchstaben?UTT_BOUNDARY gespürtes und einfach", gespürtes und einfach
"F: Welches Wort hat mehr Buchstaben, ""pulvrig"" oder ""da""? A:","['pulvrig', 'da']",pulvrig,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""pulvrig"" oder ""da""? a:UTT_BOUNDARY pulvrigormen", pulvrigormen
"Von den Wörtern ""wurde"" und ""offensiv"", welches hat mehr Buchstaben? ","['wurde', 'offensiv']",offensiv,"UTT_BOUNDARY von den wörtern ""wurde"" und ""offensiv"", welches hat mehr buchstaben?UTT_BOUNDARY offensiv, """," offensiv, """
"Von den Wörtern ""wenn"" und ""bedrohen"", welches hat mehr Buchstaben? ","['wenn', 'bedrohen']",bedrohen,"UTT_BOUNDARY von den wörtern ""wenn"" und ""bedrohen"", welches hat mehr buchstaben?UTT_BOUNDARY bedrohen. ""das"," bedrohen. ""das"
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""jemand""? A:","['im', 'jemand']",jemand,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""im"" oder ""jemand""? a:UTT_BOUNDARY jemand, der sich für"," jemand, der sich für"
"F: Welches Wort hat mehr Buchstaben, ""sollen"" oder ""das""? A:","['sollen', 'das']",sollen,"UTT_BOUNDARY f: welches wort hat mehr buchstaben, ""sollen"" oder ""das""? a:UTT_BOUNDARY sollen wir leben? a", sollen wir leben? a
"F: Welches Wort ist länger, ""auch"" oder ""bestens""? A:","['auch', 'bestens']",bestens,"UTT_BOUNDARY f: welches wort ist länger, ""auch"" oder ""bestens""? a:UTT_BOUNDARY bestens? a:", bestens? a:
