Input,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the last word? A:",Fred,freddy was lots more obno
"Q: In the sentence ""A boy hit the ball"", what is the last word? A:",ball,ball hit the ball back to
"Q: In the sentence ""I remembered having kissed Mary"", what is the last word? A:",Mary,"mary"", what is the last w"
"Q: What is the last word of the sentence ""I believe strongly that the world is round""? A:",round,round world is round worl
"Write the last word of the sentence ""John will see you"": ",you,"you will see yourself"":"
"Q: In the sentence ""They gave the bicycle to me"", what is the last word? A:",me,me?
"Q: In the sentence ""An owl hunts mice"", what is the last word? A:",mice,mice hunt mice hunt mice 
"Write the last word of the sentence ""Helen wiped the wall"": ",wall,wall wiped wall with wall
"Q: What is the last word of the sentence ""Elizabeth regretted that she had met Wickham""? A:",Wickham,ickham?
"Write the last word of the sentence ""I told the story to Daniel"": ",Daniel,daniel told the story to 
"Write the last word of the sentence ""Sonatas are easy to play on this violin"": ",violin,violin to play on this vi
"Q: What is the last word of the sentence ""Paula hit the fence""? A:",fence,fence? hat is the last wo
"Q: What is the last word of the sentence ""The man killed the king with the knife""? A:",knife,knife?
"Q: In the sentence ""The student knew the answers"", what is the last word? A:",answers,answers?
"Write the last word of the sentence ""Celia brushed her hair"": ",hair,hair?
"Q: What is the last word of the sentence ""I served leek soup to my guests""? A:",guests,guests?
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the last word? A:",offended,offended?
"Q: What is the last word of the sentence ""I will speak to Hector about this""? A:",this,about this? about this?
"Write the last word of the sentence ""Rosemary hates New York"": ",York,"york"":"
"Write the last word of the sentence ""He planted the garden with roses last November"": ",November,"november 11, 1990) was an"
"Q: What is the last word of the sentence ""Julie felt he was there""? A:",there,there was a there was a t
"Q: What is the last word of the sentence ""Kim is fond of Lee""? A:",Lee,lee is fond of lee is fon
"Q: What is the last word of the sentence ""I know the person whose mother died""? A:",died,died?
"Write the last word of the sentence ""Almost every lawyer could answer that question"": ",question,question mark.
"Q: In the sentence ""The boat sank"", what is the last word? A:",sank,sank? a:
"Write the last word of the sentence ""Most of the fruit is rotten"": ",rotten,rotten dogs are rotten do
"Write the last word of the sentence ""Don swatted the mosquito with the newspaper"": ",newspaper,"newspaper"":"
"Q: In the sentence ""Shannon sent Dan an email"", what is the last word? A:",email,email? and what is the la
"Q: What is the last word of the sentence ""The defendant denied the accusation""? A:",accusation,accusation?
"Q: In the sentence ""I have six more of them"", what is the last word? A:",them,six more of them? a:
"Q: In the sentence ""The dog chased the cat for days"", what is the last word? A:",days,"days, days, days, days""? "
"Q: In the sentence ""Fred kicked the ball over the fence"", what is the last word? A:",fence,fence? or is the last wor
"Q: What is the last word of the sentence ""John talked to any politician who is powerful""? A:",powerful,powerful?
"Write the last word of the sentence ""Jessica loaded boxes under the wagon"": ",wagon,wagon wagon wagon wagon w
"Q: What is the last word of the sentence ""He looks so formidable""? A:",formidable,formidable?
"Q: What is the last word of the sentence ""Jackie chased the thief""? A:",thief,thief?
"Write the last word of the sentence ""Doug cleared the table"": ",table,table:
"Q: What is the last word of the sentence ""John promised Mary that he would leave""? A:",leave,leave?
"Q: What is the last word of the sentence ""Henri will paint the floor for an hour""? A:",hour,for an hour? a:
"Q: In the sentence ""Henri will paint the floor for an hour"", what is the last word? A:",hour,"floor for an hour?"""
"Q: What is the last word of the sentence ""I saw only the student""? A:",student,student?
"Q: What is the last word of the sentence ""The strong winds cleared the skies""? A:",skies,skies cleared the skies c
"Q: What is the last word of the sentence ""Steve tossed the ball at Anna""? A:",Anna,anna tossed the ball at a
"Q: What is the last word of the sentence ""Mary cuts the paper easily""? A:",easily,easily?
"Q: In the sentence ""Jill embraced Sarah"", what is the last word? A:",Sarah,sarah embraced sarah embr
"Q: In the sentence ""Few doctors approve of our remedy"", what is the last word? A:",remedy,remedy? a:
"Write the last word of the sentence ""George sang to himself"": ",himself,"himself"":"
"Q: What is the last word of the sentence ""He continued writing poems""? A:",poems,poems?
"Write the last word of the sentence ""I am drinking lemonade and eating a brownie"": ",brownie,brownie and eating a brow
"Q: In the sentence ""The thief smashed the window with a hammer"", what is the last word? A:",hammer,hammer with a hammer with
"Q: In the sentence ""He gave my binoculars to that girl"", what is the last word? A:",girl,"girl, girl, girl""? a:"
"Write the last word of the sentence ""Fanny loved talking to Mary"": ",Mary,mary loved talking to mar
"Q: What is the last word of the sentence ""John has been chosen for the position""? A:",position,position?
"Write the last word of the sentence ""Mary laughed at John"": ",John,"john laughed at john"":"
"Q: What is the last word of the sentence ""Philippa cried herself to sleep""? A:",sleep,"sleep to sleep""? a:"
"Write the last word of the sentence ""I served my guests"": ",guests,"guests"":"
"Q: In the sentence ""It is obvious to everybody that Tasha likes Misha"", what is the last word? A:",Misha,"misha likes misha too""? a"
"Q: What is the last word of the sentence ""John whispered that Mary left""? A:",left,left?
"Write the last word of the sentence ""Doug went to Chicago"": ",Chicago,"chicago"":"
"Q: In the sentence ""Donna fixed a sandwich for me"", what is the last word? A:",me,me too.
"Q: What is the last word of the sentence ""These books disappoint me""? A:",me,me?
"Q: What is the last word of the sentence ""The tiger bled to death""? A:",death,"death""? a:"
"Q: What is the last word of the sentence ""That acorn will grow into an oak tree""? A:",tree,tree trunk? a:
"Q: What is the last word of the sentence ""Some tourists visited all the museums""? A:",museums,museums?
"Q: What is the last word of the sentence ""I might eat deep fried muffins""? A:",muffins,muffins?
"Q: In the sentence ""John seems to be honest"", what is the last word? A:",honest,"honestly, i don't know wh"
"Q: In the sentence ""The music echoed"", what is the last word? A:",echoed,echoed echoed echoed echo
"Q: In the sentence ""He washed himself"", what is the last word? A:",himself,"himself, what is the last"
"Q: In the sentence ""Yesterday Lydia eloped with Wickham"", what is the last word? A:",Wickham,"ickham"" is the last word?"
"Q: What is the last word of the sentence ""The eggs and the cream mixed together""? A:",together,together?
"Q: In the sentence ""You may pick almost any flower"", what is the last word? A:",flower,flower? a:
"Write the last word of the sentence ""The student enjoyed his English syntax class last semester"": ",semester,"semester"":"
"Write the last word of the sentence ""The terrier attacked the burglar"": ",burglar,burglar attacked the burg
"Q: In the sentence ""She voted for herself"", what is the last word? A:",herself,"herself, yes."
"Q: What is the last word of the sentence ""John is as intelligent as Mary""? A:",Mary,mary?
